versionId,model,version,startYear,endYear
164,02,Berline (E10),1966,1977
1608,02,Cabriolet (E10),1967,1975
1602,02,Touring (E6),1971,1975
37692,340,Berline,1950,1955
1642,501/3,,1952,1959
37691,502,Berline,1954,1963
3390,503,Décapotable,1957,1961
37690,507,Cabriolet,1956,1959
4002,600,(111),1957,1961
2054,700,(107),1959,1966
4805,700,Coupé,1959,1964
187,1500-2000,"(115, 116, 118, 121)",1962,1972
1640,1600,GT Coupé,1967,1969
1641,2600-3200,V8 Coupe,1958,1966
219,2500-3300,(E3) Berline,1968,1977
224,2000-3200,(E9) Coupe,1965,1976
36965,Glas,(602),1967,1968
11443,i3,(I01),2013,2099
42095,i4,(G26),2021,2099
11902,i8,(I12),2014,2099
38331,i8,Roadster (I15),2018,2099
1435,Isetta,"(100, 101, 102, 103)",1956,1963
41979,iX,(I20),2021,2099
40964,iX3,(G08),2020,2099
1790,M1,(E26),1979,1983
5114,1,3 portes (E81),2006,2011
11003,1,3 portes (F21),2011,2099
39565,1,3/5 portes (F40),2019,2099
10974,1,5 portes (E87),2003,2013
9620,1,5 portes (F20),2010,2019
38789,1,Berline (F52),2017,2099
6713,1,Cabriolet (E88),2008,2013
6441,1,Coupe (E82),2006,2013
12791,2,Active Tourer (F45),2013,2099
42440,2,Active Tourer (U06),2021,2099
13176,2,Cabriolet (F23),2014,2099
11599,2,"Coupe (F22, F87)",2012,2099
41933,2,Coupé (G42),2021,2099
39800,2,Gran Coupe (F44),2019,2099
13830,2,Gran Tourer (F46),2014,2099
286,3,Berline (E21),1975,1984
290,3,Berline (E30),1982,1992
304,3,Berline (E36),1990,1998
3397,3,Berline (E46),1998,2005
5389,3,Berline (E90),2004,2011
9831,3,"Berline (F30, F80)",2011,2018
39027,3,Berline (G20),2018,2099
41814,3,Berline (G28),2018,2099
430,3,Cabriolet (E30),1985,1993
434,3,Cabriolet (E36),1993,1999
4571,3,Cabriolet (E46),2000,2007
6241,3,Cabriolet (E93),2006,2013
299,3,Compact (E36),1994,2000
4751,3,Compact (E46),2001,2005
308,3,Coupe (E36),1992,1999
3999,3,Coupe (E46),1999,2006
5569,3,Coupe (E92),2005,2013
11207,3,GT (F34),2012,2099
294,3,Touring (E30),1987,1994
1311,3,Touring (E36),1995,1999
4088,3,Touring (E46),1999,2005
5430,3,Touring (E91),2004,2012
10266,3,Touring (F31),2011,2019
39625,3,Touring (G21),2019,2099
11600,4,"Cabriolet (F33, F83)",2013,2099
41276,4,Cabriolet (G23),2020,2099
11300,4,"Coupe (F32, F82)",2013,2099
40742,4,"Coupe (G22, G82)",2020,2099
11900,4,Gran Coupe (F36),2014,2099
42096,4,Gran Coupé (G26),2021,2099
456,5,Berline (E12),1972,1981
452,5,Berline (E28),1980,1987
464,5,Berline (E34),1987,1995
1449,5,Berline (E39),1995,2003
4993,5,Berline (E60),2001,2010
8541,5,Berline (F10),2009,2016
37157,5,"Berline (G30, F90)",2016,2099
8274,5,GT (F07),2009,2017
459,5,Touring (E34),1991,1997
1892,5,Touring (E39),1996,2004
5079,5,Touring (E61),2004,2010
8762,5,Touring (F11),2009,2017
37535,5,Touring (G31),2017,2099
5087,6,Cabriolet (E64),2004,2010
9159,6,Cabriolet (F12),2011,2018
486,6,Coupe (E24),1975,1989
5086,6,Coupe (E63),2004,2010
9160,6,Coupe (F13),2010,2017
11034,6,Gran Coupe (F06),2011,2018
38046,6,Gran Turismo (G32),2017,2099
539,7,(E23),1977,1988
544,7,(E32),1986,1994
549,7,(E38),1994,2001
4816,7,"(E65, E66, E67)",2001,2009
7864,7,"(F01, F02, F03, F04)",2008,2015
14283,7,"(G11, G12)",2014,2099
42916,7,(G70),2022,2099
67,8,(E31),1990,1999
39034,8,"Cabriolet (G14, F91)",2018,2099
38775,8,"Coupe (G15, F92)",2018,2099
39628,8,"Gran Coupe (G16, F93)",2019,2099
8277,X1,(E84),2009,2015
14383,X1,(F48),2014,2099
38274,X2,(F39),2017,2099
5085,X3,(E83),2003,2011
8763,X3,(F25),2010,2017
38057,X3,"(G01, F97)",2017,2099
11945,X4,(F26),2013,2018
38487,X4,"(G02, F98)",2018,2099
4343,X5,(E53),2000,2007
6414,X5,(E70),2006,2013
11482,X5,"(F15, F85)",2012,2018
38751,X5,(G05),2018,2099
7378,X6,"(E71, E72)",2007,2014
12845,X6,"(F16, F86)",2014,2019
39650,X6,"(G06, F96)",2019,2099
39060,X7,(G07),2019,2099
138,Z1,Roadster (E30),1988,1991
2079,Z3,Coupe (E36),1997,2003
3483,Z3,Roadster (E36),1995,2003
5516,Z4,Coupe (E86),2006,2009
4924,Z4,Roadster (E85),2003,2009
8033,Z4,Roadster (E89),2009,2016
39028,Z4,Roadster (G29),2019,2099
4279,Z8,Roadster (E52),2000,2003
